 alpha[deg], CL, CD, Cm
   46.000000000000000      ,   1.7105235395522931      ,   1.5689371895596058      , -0.25481339782132550     
   47.000000000000000      ,   1.6719767098818332      ,   1.6021651094816174      , -0.26071839439652728     
   48.000000000000000      ,   1.6315088213817510      ,   1.6325364401284375      , -0.26719885432182067     
   49.000000000000000      ,   1.5895672650190953      ,   1.6600689468651386      , -0.27431431005204948     
   50.000000000000000      ,   1.5465739917637700      ,   1.6848374090004972      , -0.28211920168304017     
   51.000000000000000      ,   1.5029155974931176      ,   1.7069707480165368      , -0.29066112491844542     
   52.000000000000007      ,   1.4589358883317936      ,   1.7266466192624639      , -0.29997911729122051     
   53.000000000000000      ,   1.4149310459915818      ,   1.7440837850266016      , -0.31010204126771185     
   54.000000000000000      ,   1.3711473090040096      ,   1.7595327709665169      , -0.32104713199233037     
   55.000000000000000      ,   1.3277809236701039      ,   1.7732654368433476      , -0.33281878386373354     
   56.000000000000000      ,   1.2849800076415236      ,   1.7855641512978497      , -0.34540765124042550     
   57.000000000000000      ,   1.2428479102019878      ,   1.7967112455179182      , -0.35879013235775914     
   58.000000000000000      ,   1.2014476407686856      ,   1.8069793400173004      , -0.37292829115518239     
   59.000000000000000      ,   1.1608069610122203      ,   1.8166230092298083      , -0.38777024972143426     
   59.999999999999993      ,   1.1209237848438596      ,   1.8258720919517957      , -0.40325105637090186     
   61.000000000000000      ,   1.0817715932935006      ,   1.8349267940252907      , -0.41929400388660565     
   62.000000000000000      ,   1.0433046386654070      ,   1.8439545819714653      , -0.43581234263212604     
   63.000000000000000      ,   1.0054627773066347      ,   1.8530887458751482      , -0.45271130741181953     
   64.000000000000000      ,  0.96817582825860926      ,   1.8624284235981969      , -0.46989035793003942     
   65.000000000000000      ,  0.93136740351924197      ,   1.8720398274020382      , -0.48724552228562151     
   66.000000000000000      ,  0.89495819382904429      ,   1.8819583948414733      , -0.50467173179873503     
   66.999999999999986      ,  0.85886872219071542      ,   1.8921915921459000      , -0.52206504311055668     
   68.000000000000000      ,  0.82302159683769560      ,   1.9027221229015980      , -0.53932465845627442     
   68.999999999999986      ,  0.78734330753450399      ,   1.9135113305273903      , -0.55635467515426584     
   70.000000000000000      ,  0.75176561545853748      ,   1.9245026236383014      , -0.57306551823839502     
   71.000000000000000      ,  0.71622658893206237      ,   1.9356247941745619      , -0.58937503339225283     
   72.000000000000000      ,  0.68067133621490439      ,   1.9467951358794076      , -0.60520923886490530     
   73.000000000000000      ,  0.64505248348158517      ,   1.9579223034199720      , -0.62050275332296512     
   74.000000000000000      ,  0.60933044181458007      ,   1.9689088793179990      , -0.63519893069496614     
   75.000000000000014      ,  0.57347350216484627      ,   1.9796536368286435      , -0.64924974265069924     
   76.000000000000000      ,  0.53745779220222745      ,   1.9900535024206354      , -0.66261545458781423     
   77.000000000000014      ,  0.50126712409900276      ,   2.0000052322943196      , -0.67526414239330346     
   78.000000000000000      ,  0.46489275774575850      ,   2.0094068242625971      , -0.68717109555183764     
   79.000000000000000      ,  0.42833309979315831      ,   2.0181586901475828      , -0.69831814821733396     
   80.000000000000000      ,  0.39159335529021505      ,   2.0261646153747797      , -0.70869297446031243     
   81.000000000000000      ,  0.35468514555310127      ,   2.0333325323309039      , -0.71828837777038979     
   82.000000000000000      ,  0.31762610322616341      ,   2.0395751328264438      , -0.72710159861444534     
   83.000000000000014      ,  0.28043945325132186      ,   2.0448103430897833      , -0.73513365786137930     
   84.000000000000000      ,  0.24315358659837966      ,   2.0489616824323944      , -0.74238874847493319     
   85.000000000000000      ,  0.20580163207920801      ,   2.0519585242945038      , -0.74887368321284864     
   86.000000000000000      ,  0.16842103032708886      ,   2.0537362759656852      , -0.75459740221919847     
   87.000000000000000      ,  0.13105311302446201      ,   2.0542364909794180      , -0.75957054134847246     
   87.999999999999986      ,   9.3742689668922977E-002 ,   2.0534069260664358      , -0.76380505975614943     
   89.000000000000000      ,   5.6537643543078192E-002 ,   2.0512015526511056      , -0.76731392364293693     
   90.000000000000000      ,   1.9488538068652628E-002 ,   2.0475805311985762      , -0.77011084194674628     
   91.000000000000000      ,  -1.7351765647108077E-002 ,   2.0425101552648499      , -0.77221004913418823     
   92.000000000000000      ,  -5.3928479546082021E-002 ,   2.0359627708549173      , -0.77362612995414681     
   92.999999999999986      ,  -9.0185247317166803E-002 ,   2.0279166756381777      , -0.77437388099239168     
   94.000000000000000      , -0.12606449089107005      ,   2.0183560016855151      , -0.77446820403348560     
   95.000000000000000      , -0.16150774467224419      ,   2.0072705846584196      , -0.77392402653280268     
   96.000000000000000      , -0.19645597752015484      ,   1.9946558217770856      , -0.77275624487810668     
   97.000000000000000      , -0.23084990253741883      ,   1.9805125204032354      , -0.77097968653896753     
   98.000000000000000      , -0.26463027474798656      ,   1.9648467386771753      , -0.76860908763501978     
   99.000000000000014      , -0.29773817675950276      ,   1.9476696193324781      , -0.76565908288055085     
   100.00000000000000      , -0.33011529250456639      ,   1.9289972175623162      , -0.76214420526933058     
   101.00000000000000      , -0.36170416914906495      ,   1.9088503236172509      , -0.75807889324128197     
   102.00000000000000      , -0.39244846724464516      ,   1.8872542806657910      , -0.75347750341672814     
   103.00000000000000      , -0.42229319918872754      ,   1.8642387983372963      , -0.74835432729241047     
   104.00000000000001      , -0.45118495604058334      ,   1.8398377622854836      , -0.74272361056629754     
   105.00000000000000      , -0.47907212272737104      ,   1.8140890400534646      , -0.73659957399669063     
   106.00000000000000      , -0.50590508166003434      ,   1.7870342834833106      , -0.72999643490747601     
   107.00000000000000      , -0.53163640476663343      ,   1.7587187278904095      , -0.72292842862826290     
   108.00000000000000      , -0.55622103394010114      ,   1.7291909882120999      , -0.71540982930850894     
   108.99999999999999      , -0.57961644988910599      ,   1.6985028523384162      , -0.70745496967154320     
   110.00000000000000      , -0.60178282937458627      ,   1.6667090718380018      , -0.69907825938046497     
   111.00000000000000      , -0.62268319081089241      ,   1.6338671503027358      , -0.69029420177601863     
   112.00000000000000      , -0.64228352820919599      ,   1.6000371295483926      , -0.68111740881908889     
   113.00000000000000      , -0.66055293344190602      ,   1.5652813739252796      , -0.67156261412980256     
