 time[s], u[ft/s], v[ft/s], w[ft/s], p[rad/s], q[rad/s], r[rad/s], xf[ft], yf[ft], zf[ft], e0, ex, ey, ez
   0.0000000000000000      ,   210.00000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,  -5.0000000000000000      ,  0.99904822158185780      ,   0.0000000000000000      ,   4.3619387365336000E-002 ,   0.0000000000000000     
   5.0000000000000001E-003 ,   209.85170347954022      ,   8.1832752211310564E-003 ,  0.15994439468299751      ,   19.773157925243904      ,  -1.3405957714911787E-004 ,   6.7929063217052271E-006 ,   1.0457237672914002      ,   7.9028472311208631E-004 ,  -5.0910718395828107      ,  0.99872223315358311      ,   2.5519792600460698E-002 ,   4.3605042287476872E-002 ,  -1.1142160728022999E-003
   1.0000000000000000E-002 ,   209.70356263659400      ,   6.1015494284495049E-002 ,  0.31406871274714926      ,   35.948051764616196      ,  -5.2544000136384768E-004 ,   1.0108795315429837E-004 ,   2.0907561927404057      ,   6.0151188897899152E-003 ,  -5.1809538103280079      ,  0.99445990399296458      ,   9.5639564772409591E-002 ,   4.3418165724876855E-002 ,  -4.1756299566864065E-003
   1.4999999999999999E-002 ,   209.55555175759355      ,  0.18924493384386232      ,  0.44014849501776798      ,   49.178858977607860      ,  -1.1038229803566036E-003 ,   4.6951514831716101E-004 ,   3.1351719924186732      ,   1.9189792351837986E-002 ,  -5.2682783968411826      ,  0.97856594304488753      ,  0.20126178607684039      ,   4.2722158582073490E-002 ,  -8.7866799144198839E-003
   2.0000000000000000E-002 ,   209.40767756669851      ,  0.40098976670509134      ,  0.49556081857586176      ,   60.000485109758934      ,  -1.6600145841210543E-003 ,   1.3253350658935824E-003 ,   4.1791034282156385      ,   4.2507263392172111E-002 ,  -5.3502021238761950      ,  0.94193424601384412      ,  0.33295321791796090      ,   4.1119013732455918E-002 ,  -1.4534702407543338E-002
   2.5000000000000001E-002 ,   209.25999986080731      ,  0.67043666869111562      ,  0.42710645228744237      ,   68.850378503015023      ,  -1.8025436282351616E-003 ,   2.7706035177250533E-003 ,   5.2227336184857514      ,   7.6237015568133337E-002 ,  -5.4226316683308129      ,  0.87617008122691098      ,  0.48002556715379613      ,   3.8242215705561342E-002 ,  -2.0951767930992064E-002
   3.0000000000000002E-002 ,   209.11260066325573      ,  0.93156763776430274      ,  0.19278700669025997      ,   76.086342698252778      ,  -1.0193788381987199E-003 ,   4.6282225798062130E-003 ,   6.2662618452024734      ,  0.11815272879939032      ,  -5.4810662644631281      ,  0.77514782385235181      ,  0.63027397182604439      ,   3.3825047999554277E-002 ,  -2.7503413304785469E-002
   3.5000000000000003E-002 ,   208.96547097057939      ,   1.0860472155534826      , -0.21053201265252061      ,   82.001074819644998      ,   1.1221198984976124E-003 ,   6.3224654054762301E-003 ,   7.3098470062352998      ,  0.16337891717403935      ,  -5.5219118558328439      ,  0.63613365278647926      ,  0.77034707455121265      ,   2.7749865357387077E-002 ,  -3.3605140909780104E-002
   4.0000000000000001E-002 ,   208.81839254216945      ,   1.0295874050894642      , -0.72488833151916943      ,   86.834028105266512      ,   4.6752641044976737E-003 ,   6.9143410468429966E-003 ,   8.3535438851615531      ,  0.20496432572103451      ,  -5.5439333197410274      ,  0.46046906472610627      ,  0.88660616009880988      ,   2.0078043061225636E-002 ,  -3.8660438330937456E-002
   4.4999999999999998E-002 ,   208.67100040627645      ,  0.69239990083302705      ,  -1.2275224852042321      ,   90.781102231172000      ,   9.0366334526516788E-003 ,   5.3646220075669084E-003 ,   9.3972541076851055      ,  0.23525870597357734      ,  -5.5493618599616932      ,  0.25377950082146961      ,  0.96628166420981909      ,   1.1058950248376956E-002 ,  -4.2111874739935405E-002
   4.9999999999999996E-002 ,   208.52311679483790      ,   8.0264432029573451E-002 ,  -1.5543557344097543      ,   94.002586132747965      ,   1.2862687439203544E-002 ,   9.9933126217801281E-004 ,   10.440714339958010      ,  0.24785415995963309      ,  -5.5441747733714388      ,   2.5696272517545672E-002 ,  0.99872244977298630      ,   1.1173760400346117E-003 ,  -4.3496222467407378E-002
   5.4999999999999993E-002 ,   208.37510478515412      , -0.70205476507792997      ,  -1.5490577757335735      ,   96.629687618992435      ,   1.4320737533447587E-002 ,  -5.9739328790417217E-003 ,   11.483535205868101      ,  0.23956825618825159      ,  -5.5372598401541548      , -0.21087371049054957      ,  0.97654605128073246      ,  -9.1790824301285923E-003 ,  -4.2495086747736804E-002
   5.9999999999999991E-002 ,   208.22775374703144      ,  -1.4604027642849875      ,  -1.1239176504215818      ,   98.769880543893180      ,   1.1692792991053887E-002 ,  -1.4140814831559462E-002 ,   12.525286949492566      ,  0.21181735140645480      ,  -5.5385246301646136      , -0.44084796538071236      ,  0.89653034134229814      ,  -1.9169001279029669E-002 ,  -3.8973938244847892E-002
   6.4999999999999988E-002 ,   208.08154385174774      ,  -1.9584335790501395      , -0.31011990264133904      ,   100.51122581926511      ,   4.1770511310490173E-003 ,  -2.0980731411302023E-002 ,   13.565609138360212      ,  0.17083018938058575      ,  -5.5563942869281338      , -0.64831805868329739      ,  0.76013260531944749      ,  -2.8157103136862600E-002 ,  -3.3004464218191379E-002
   6.9999999999999993E-002 ,   207.93591750934593      ,  -1.9920248151615809      ,  0.72533280950249912      ,   101.92582424085020      ,  -7.4170599901394732E-003 ,  -2.3498871375653135E-002 ,   14.604311109306929      ,  0.12647094175039741      ,  -5.5954135267019112      , -0.81800699622456519      ,  0.57357424353471331      ,  -3.5478853691466028E-002 ,  -2.4867493279079406E-002
   7.4999999999999997E-002 ,   207.78951494240732      ,  -1.4673528402638443      ,   1.7094840768763673      ,   103.07261666233534      ,  -2.0427709285163690E-002 ,  -1.9279129702225926E-002 ,   15.641432426592027      ,   8.9876807264674424E-002 ,  -5.6547173760064364      , -0.93668836173897929      ,  0.34748160027420516      ,  -4.0563110973027630E-002 ,  -1.5036105939183636E-002
   8.0000000000000002E-002 ,   207.64149533795418      , -0.45361687320027300      ,   2.3372010873750142      ,   103.99976124024062      ,  -3.0793769565046737E-002 ,  -7.6270216329028459E-003 ,   16.677245144022557      ,   7.0520258621168841E-002 ,  -5.7279278047817330      , -0.99443246451871414      ,   9.6120064499200852E-002 ,  -4.2986761367646897E-002 ,  -4.1406592502475957E-003
   8.5000000000000006E-002 ,   207.49269624187315      ,  0.81320264544987331      ,   2.3686171712800053      ,   104.74671020593890      ,  -3.4202511521442450E-002 ,   9.6525509519067472E-003 ,   17.712194615277127      ,   7.3540043520674850E-002 ,  -5.8046257640626022      , -0.98556750327380849      , -0.16370376126926103      ,  -4.2516313129120305E-002 ,   7.0808300950375366E-003
   9.0000000000000011E-002 ,   207.34513539175657      ,   1.9839511873469253      ,   1.7183767993694126      ,   105.34594003361173      ,  -2.7639639989502633E-002 ,   2.8251604061063276E-002 ,   18.746788960413664      ,   9.8160836281313779E-002 ,  -5.8730643157485911      , -0.90927420837276374      , -0.41396943222805987      ,  -3.9132819600590230E-002 ,   1.7842241982697207E-002
   9.5000000000000015E-002 ,   207.19996469651454      ,   2.6956423571695387      ,  0.50400225880121696      ,   105.82422881948339      ,  -1.0821512065578253E-002 ,   4.2310990966530598E-002 ,   19.781460699084644      ,  0.13773283297185152      ,  -5.9233837987196463      , -0.76976800907281950      , -0.63688020142123203      ,  -3.3038148969322008E-002 ,   2.7373380470801765E-002
  0.10000000000000002      ,   207.05593979710821      ,   2.6872520137061615      , -0.96813103776894160      ,   106.20351349836631      ,   1.3068136861174206E-002 ,   4.6166561177448190E-002 ,   20.816438003112054      ,  0.18145190054378124      ,  -5.9504004616332411      , -0.57606067635665192      , -0.81628613577099596      ,  -2.4642368934486555E-002 ,   3.4982786579525416E-002
  0.10500000000000002      ,   206.91036756637124      ,   1.8940972322811587      ,  -2.2808485566444139      ,   106.50156467239269      ,   3.7753884672871191E-002 ,   3.6391053420363688E-002 ,   21.851669937228184      ,  0.21731353690319194      ,  -5.9551333180248252      , -0.34132937100817262      , -0.93897492022524121      ,  -1.4533675017977605E-002 ,   4.0113987157088596E-002
  0.11000000000000003      ,   206.76194109056900      ,  0.48706725082134472      ,  -3.0279419005933526      ,   106.73274024059150      ,   5.5426992765080771E-002 ,   1.3433932756160078E-002 ,   22.886838250789797      ,  0.23546797030775229      ,  -5.9445874680942783      ,  -8.1951154557324352E-002 , -0.99572850447758621      ,  -3.4336792351904867E-003 ,   4.2390606087444826E-002
  0.11500000000000003      ,   206.61248374685138      ,  -1.1609256751198951      ,  -2.9429004647250636      ,   106.90884056600994      ,   5.9130026008169106E-002 ,  -1.7805457157660631E-002 ,   23.921455740062392      ,  0.23100242411864652      ,  -5.9298234796970934      ,  0.18371570609874902      , -0.98206534080521712      ,   7.8580623065634039E-003 ,   4.1646807543401686E-002
  0.12000000000000004      ,   206.46536988737270      ,  -2.5757736190973830      ,  -1.9929333048715094      ,   107.03981309378339      ,   4.5254433305338106E-002 ,  -4.8851150750486724E-002 ,   24.955014136104211      ,  0.20533275059180769      ,  -5.9228560043001890      ,  0.43670491976518316      , -0.89861343839585939      ,   1.8525636373480110E-002 ,   3.7940772056108962E-002
  0.12500000000000003      ,   206.32193035502058      ,  -3.3221585359969437      , -0.40543359143023294      ,   107.13405756255551      ,   1.5293760548451371E-002 ,  -6.9887230512779591E-002 ,   25.987127034733728      ,  0.16579627507766653      ,  -5.9332752963461042      ,  0.65886031824703972      , -0.75108911066415174      ,   2.7799390039667689E-002 ,   3.1550321623807026E-002
  0.13000000000000003      ,   206.17970066419036      ,  -3.1401603339247597      ,   1.3857360970974821      ,   107.19840030276610      ,  -2.3859217271869619E-002 ,  -7.2784240911807213E-002 ,   27.017625503685430      ,  0.12356634337682673      ,  -5.9655620108751632      ,  0.83418812978805224      , -0.54988852053120263      ,   3.5014511244286298E-002 ,   2.2951320463989688E-002
  0.13500000000000004      ,   206.03476307595133      ,  -2.0348744382892394      ,   2.8614721362443909      ,   107.23810828646826      ,  -6.1371717445446200E-002 ,  -5.3995281403748818E-002 ,   28.046591335802525      ,   9.0489881162793107E-002 ,  -6.0178572747359045      ,  0.95004164847823458      , -0.30932914516435395      ,   3.9661009080637757E-002 ,   1.2780863325845992E-002
  0.14000000000000004      ,   205.88599467125636      , -0.28845220133638949      ,   3.5713168070882606      ,   107.25724390345312      ,  -8.5425819034759792E-002 ,  -1.6332797032247437E-002 ,   29.074331989061097      ,   7.5749707418152956E-002 ,  -6.0825309255565401      ,  0.99805275655439751      ,  -4.6602225214339432E-002 ,   4.1421365746124615E-002 ,   1.7883509069261260E-003
  0.14500000000000005      ,   205.73660485104824      ,   1.6127021690780248      ,   3.2733147766440913      ,   107.25925173205849      ,  -8.6872462221822905E-002 ,   3.1102861659411625E-002 ,   30.101304171338523      ,   8.3299572148880285E-002 ,  -6.1483793271011828      ,  0.97474412244142172      ,  0.21948432726563891      ,   4.0193123063627635E-002 ,  -9.2216435110440403E-003
  0.15000000000000005      ,   205.59096938639564      ,   3.1163830458095449      ,   2.0157689164651860      ,   107.24735001816647      ,  -6.2463891211237681E-002 ,   7.5036128205183877E-002 ,   31.127993667209090      ,  0.11079780397433192      ,  -6.2038189877712737      ,  0.88177844530896221      ,  0.46987831154200776      ,   3.6094801982338921E-002 ,  -1.9450218528264916E-002
