 time[s], u[ft/s], v[ft/s], w[ft/s], p[rad/s], q[rad/s], r[rad/s], xf[ft], yf[ft], zf[ft], e0, ex, ey, ez
   0.0000000000000000      ,   326.90077135017464      ,   0.0000000000000000      ,   45.120790004839762      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,  -1000.0000000000000      ,  0.99764933669873013      ,   0.0000000000000000      ,   6.8525914693522316E-002 ,   0.0000000000000000     
   1.0000000000000000E-002 ,   326.66598685371088      ,  -2.9878701205462069E-006 ,   45.813593350663766      ,   2.9087956914048411E-007 ,  0.21910662275195569      ,   2.7824338770840674E-006 ,   3.2993138661271915      ,  -1.1053098754683730E-012 ,  -999.99821530622921      ,  0.99761160055451492      ,   8.0170770642718416E-010 ,   6.9073109377377415E-002 ,   4.5979042967592736E-009
   2.0000000000000000E-002 ,   326.32827534086630      ,  -2.3800741102196727E-005 ,   47.215821565870399      ,   1.1651175667254361E-006 ,  0.43648179498849982      ,   1.1084280143280700E-005 ,   6.5972556434389542      ,   2.5780989135519057E-011 ,  -999.99287726630394      ,  0.99749700130911201      ,   6.4260737135529245E-009 ,   7.0708785729414497E-002 ,   3.6667761570317475E-008
   2.9999999999999999E-002 ,   325.87945179247117      ,  -7.9952842371816055E-005 ,   49.319523199982626      ,   2.6131527553649510E-006 ,  0.65215577136281355      ,   2.4834733770893357E-005 ,   9.8938271016939972      ,   1.5943636126574879E-010 ,  -999.98401096392172      ,  0.99730081509569912      ,   2.1718915684649267E-008 ,   7.3424002951611361E-002 ,   1.2335444598773315E-007
   4.0000000000000001E-002 ,   325.30689970168703      ,  -1.8855935404789252E-004 ,   52.116091094240112      ,   4.6132935348648215E-006 ,  0.86615850567028019      ,   4.3959700893898425E-005 ,   13.189030900884365      ,   5.3993400878768078E-010 ,  -999.97164282844733      ,  0.99701487615784867      ,   5.1538567798445510E-008 ,   7.7209693172958241E-002 ,   2.9142462531332997E-007
   5.0000000000000003E-002 ,   324.59371999688898      ,  -3.6626473319910011E-004 ,   55.596137027486883      ,   7.1363387441271944E-006 ,   1.0785196331744544      ,   6.8382118588866276E-005 ,   16.482870429917554      ,   1.3772722497468398E-009 ,  -999.95580061917872      ,  0.99662766926785318      ,   1.0076120832626757E-007 ,   8.2056619778021866E-002 ,   5.6724207939579882E-007
   6.0000000000000005E-002 ,   323.71888592895471      ,  -6.2916261212721952E-004 ,   59.749323394159681      ,   1.0149940023786479E-005 ,   1.2892684516472042      ,   9.8022311503248154E-005 ,   19.775349630849249      ,   2.9612436908162595E-009 ,  -999.93651341071461      ,  0.99612442090455444      ,   1.7430598935564157E-007 ,   8.7955318637258806E-002 ,   9.7674138520385435E-007
   7.0000000000000007E-002 ,   322.65740631338485      ,  -9.9270442155126445E-004 ,   64.564154916668784      ,   1.3622693836219059E-005 ,   1.4984339011925361      ,   1.3279834581954341E-004 ,   23.066472809111840      ,   5.6728566973794533E-009 ,  -999.91381157947637      ,  0.99548718966116767      ,   2.7717838212945374E-007 ,   9.4896023194048384E-002 ,   1.5453991516758991E-006
   8.0000000000000002E-002 ,   321.38050003816397      ,  -1.4715935485871059E-003 ,   70.027733452274859      ,   1.7527952291955785E-005 ,   1.7060445429161561      ,   1.7262634555735787E-004 ,   26.356244430164963      ,   9.9977464350063743E-009 ,  -999.88772679142164      ,  0.99469495646156558      ,   4.1453008560164071E-007 ,  0.10286857432894833      ,   2.2982015946067542E-006
   8.9999999999999997E-002 ,   319.85578520161840      ,  -2.0796616102987057E-003 ,   76.125479066768207      ,   2.1847343033989759E-005 ,   1.9121285364959204      ,   2.1742074073819188E-004 ,   29.644668902976587      ,   1.6542152524157648E-008 ,  -999.85829199098112      ,  0.99372371526087500      ,   5.9173376778871491E-007 ,  0.11186231589390794      ,   3.2596069072753313E-006
